site,type,depth,age,d13,unc
DSS,ice,534.15,1019,-6.553,0.063
DSS,ice,505.85,1099,-6.558,0.063
DSS,ice,447.17,1251,-6.54,0.063
DSS,ice,413.99,1330,-6.548,0.093
DSS,ice,387.05,1390,-6.514,0.063
DSS,ice,387.1,1390,-6.538,0.063
DSS,ice,323.72,1530,-6.509,0.063
DSS,ice,302.03,1573,-6.439,0.093
DSS,ice,238.65,1694,-6.396,0.063
DSS,ice,222.89,1723,-6.449,0.124
DSS,ice,205.82,1752,-6.351,0.093
DSS,ice,200.52,1763,-6.434,0.093
DSS,ice,179.43,1799,-6.511,0.186
DE08-2,ice,242.72,1833,-6.651,0.093
DE08,ice,226.09,1843,-6.668,0.024
DE08,ice,226.09,1843,-6.667,0.024
DE08,ice,224.9,1844,-6.656,0.01
DE08,ice,224.6,1845,-6.592,0.127
DE08,ice,218.8,1850,-6.651,0.036
DE08,ice,211.88,1857,-6.648,0.019
DE08,ice,206,1862,-6.674,0.062
DE08,ice,203.44,1864,-6.708,0.025
DE08,ice,198.72,1868,-6.766,0.072
DE08,ice,198.72,1868,-6.755,0.072
DE08,ice,197.03,1870,-6.679,0.021
DE08,ice,187.2,1880,-6.707,0.019
DE08,ice,184.22,1883,-6.733,0.124
DE08,ice,176.95,1890,-6.763,0.019
SOUTH POLE 95,firn,122,1897,-6.78,0.022
SOUTH POLE 95,firn,122,1897,-6.786,0.022
SOUTH POLE 95,firn,122,1897,-6.823,0.022
DE08,ice,167.77,1899,-6.682,0.062
DE08,ice,166.16,1900,-6.754,0.021
SOUTH POLE 95,firn,121.3,1903,-6.781,0.022
SOUTH POLE 95,firn,121.3,1903,-6.749,0.022
DE08,ice,160.8,1905,-6.829,0.062
DSS,ice,114.3,1906,-6.814,0.094
DE08,ice,156.21,1910,-6.888,0.127
DE08,ice,153.21,1913,-6.867,0.062
DE08,ice,149.78,1916,-6.904,0.062
SOUTH POLE 95,firn,119.8,1916,-6.891,0.024
DE08,ice,145.45,1920,-6.931,0.127
SOUTH POLE 95,firn,118.9,1924,-6.881,0.024
SOUTH POLE 95,firn,118.9,1924,-6.893,0.024
