"","year","d13_atmos"
"1",1700,-7.27058803304577
"2",1701,-7.21545334341833
"3",1702,-7.16229802006519
"4",1703,-7.11109141937311
"5",1704,-7.06180289772889
"6",1705,-7.0144018115193
"7",1706,-6.96885751713112
"8",1707,-6.92513937095114
"9",1708,-6.88321672936614
"10",1709,-6.84305894876289
"11",1710,-6.80463538552819
"12",1711,-6.76791539604881
"13",1712,-6.73286833671154
"14",1713,-6.69946356390315
"15",1714,-6.66767043401043
"16",1715,-6.63745830342017
"17",1716,-6.60879652851913
"18",1717,-6.5816544656941
"19",1718,-6.55600147133187
"20",1719,-6.53180690181922
"21",1720,-6.50904011354292
"22",1721,-6.48767046288977
"23",1722,-6.46766730624653
"24",1723,-6.449
"25",1724,-6.43163790053695
"26",1725,-6.41555036424417
"27",1726,-6.40070674750844
"28",1727,-6.38707640671654
"29",1728,-6.37462869825525
"30",1729,-6.36333297851135
"31",1730,-6.35315860387162
"32",1731,-6.34407493072286
"33",1732,-6.33605131545183
"34",1733,-6.32905711444532
"35",1734,-6.32306168409011
"36",1735,-6.31803438077298
"37",1736,-6.31394456088072
"38",1737,-6.31076158080011
"39",1738,-6.30845479691792
"40",1739,-6.30699356562095
"41",1740,-6.30634724329596
"42",1741,-6.30648518632975
"43",1742,-6.30737675110909
"44",1743,-6.30899129402077
"45",1744,-6.31129817145157
"46",1745,-6.31426673978827
"47",1746,-6.31786635541765
"48",1747,-6.32206637472649
"49",1748,-6.32683615410157
"50",1749,-6.33214504992969
"51",1750,-6.33796241859761
"52",1751,-6.34425761649212
"53",1752,-6.351
"54",1753,-6.35814997254358
"55",1754,-6.36563212568737
"56",1755,-6.37336209803142
"57",1756,-6.3812555281758
"58",1757,-6.38922805472054
"59",1758,-6.39719531626572
"60",1759,-6.40507295141138
"61",1760,-6.41277659875759
"62",1761,-6.42022189690439
"63",1762,-6.42732448445184
"64",1763,-6.434
"65",1764,-6.44018193160369
"66",1765,-6.44587516513682
"67",1766,-6.45110243592806
"68",1767,-6.45588647930607
"69",1768,-6.46025003059954
"70",1769,-6.46421582513714
"71",1770,-6.46780659824753
"72",1771,-6.4710450852594
"73",1772,-6.47395402150141
"74",1773,-6.47655614230223
"75",1774,-6.47887418299055
"76",1775,-6.48093087889503
"77",1776,-6.48274896534434
"78",1777,-6.48435117766716
"79",1778,-6.48576025119216
"80",1779,-6.48699892124801
"81",1780,-6.48808992316339
"82",1781,-6.48905599226696
"83",1782,-6.48991986388741
"84",1783,-6.4907042733534
"85",1784,-6.49143195599361
"86",1785,-6.4921256471367
"87",1786,-6.49280808211135
"88",1787,-6.49350199624624
"89",1788,-6.49423012487004
"90",1789,-6.49501520331141
"91",1790,-6.49587996689904
"92",1791,-6.49684715096159
"93",1792,-6.49793949082774
"94",1793,-6.49917972182616
"95",1794,-6.50059057928552
"96",1795,-6.50219479853449
"97",1796,-6.50401511490176
"98",1797,-6.50607426371598
"99",1798,-6.50839498030584
"100",1799,-6.511
"101",1800,-6.51390493261159
"102",1801,-6.51709688589149
"103",1802,-6.52055584207506
"104",1803,-6.52426178339762
"105",1804,-6.52819469209453
"106",1805,-6.53233455040112
"107",1806,-6.53666134055273
"108",1807,-6.54115504478471
"109",1808,-6.54579564533239
"110",1809,-6.55056312443111
"111",1810,-6.55543746431622
"112",1811,-6.56039864722306
"113",1812,-6.56542665538697
"114",1813,-6.57050147104328
"115",1814,-6.57560307642734
"116",1815,-6.58071145377449
"117",1816,-6.58580658532007
"118",1817,-6.59086845329943
"119",1818,-6.59587703994789
"120",1819,-6.60081232750081
"121",1820,-6.60565429819352
"122",1821,-6.61038293426137
"123",1822,-6.61497821793969
"124",1823,-6.61942013146382
"125",1824,-6.62368865706912
"126",1825,-6.6277637769909
"127",1826,-6.63162547346453
"128",1827,-6.63525372872534
"129",1828,-6.63862852500866
"130",1829,-6.64172984454984
"131",1830,-6.64453766958423
"132",1831,-6.64703198234716
"133",1832,-6.64919276507397
"134",1833,-6.651
"135",1834,-6.6524559460486
"136",1835,-6.65365196889516
"137",1836,-6.65470171090304
"138",1837,-6.65571881443565
"139",1838,-6.65681692185636
"140",1839,-6.65810967552857
"141",1840,-6.65971071781565
"142",1841,-6.66173369108099
"143",1842,-6.66429223768798
"144",1843,-6.6675
"145",1844,-6.656
"146",1845,-6.592
"147",1846,-6.55377918562502
"148",1847,-6.55407658951125
"149",1848,-6.57938440058498
"150",1849,-6.61619480777247
"151",1850,-6.651
"152",1851,-6.67304483617484
"153",1852,-6.6825848551282
"154",1853,-6.68262826567229
"155",1854,-6.67618327661932
"156",1855,-6.66625809678147
"157",1856,-6.65586093497096
"158",1857,-6.648
"159",1858,-6.64505929239146
"160",1859,-6.64692597951092
"161",1860,-6.65286302043466
"162",1861,-6.66213337423893
"163",1862,-6.674
"164",1863,-6.68840411883193
"165",1864,-6.708
"166",1865,-6.73386311583704
"167",1866,-6.75804070279494
"168",1867,-6.77032293835538
"169",1868,-6.7605
"170",1869,-6.72402465127692
"171",1870,-6.679
"172",1871,-6.64491174554912
"173",1872,-6.6241256093024
"174",1873,-6.61472731813751
"175",1874,-6.61480259893215
"176",1875,-6.62243717856398
"177",1876,-6.6357167839107
"178",1877,-6.65272714184998
"179",1878,-6.6715539792595
"180",1879,-6.69028302301695
"181",1880,-6.707
"182",1881,-6.72005227415746
"183",1882,-6.72883375772265
"184",1883,-6.733
"185",1884,-6.73267009816142
"186",1885,-6.72981734084876
"187",1886,-6.72687856457132
"188",1887,-6.7262906058384
"189",1888,-6.73049030115934
"190",1889,-6.74191448704344
"191",1890,-6.763
"192",1891,-6.79446508562822
"193",1892,-6.83015362588676
"194",1893,-6.86219091182417
"195",1894,-6.88270223448899
"196",1895,-6.88381288492976
"197",1896,-6.85764815419503
"198",1897,-6.79633333333333
"199",1898,-6.71014939021531
"200",1899,-6.682
"201",1900,-6.754
"202",1901,-6.78309779592779
"203",1902,-6.7697437871232
"204",1903,-6.765
"205",1904,-6.80035456141536
"206",1905,-6.829
"207",1906,-6.814
"208",1907,-6.81524730596565
"209",1908,-6.83827507608474
"210",1909,-6.86766530816146
"211",1910,-6.888
"212",1911,-6.88854667488128
"213",1912,-6.8773149579931
"214",1913,-6.867
"215",1914,-6.86766705578739
"216",1915,-6.87886179712415
"217",1916,-6.8975
"218",1917,-6.91965676936268
"219",1918,-6.93804452599182
"220",1919,-6.94453501962505
"221",1920,-6.931
"222",1921,-6.89513872023445
"223",1922,-6.85796044696685
"224",1923,-6.84630195021583
"225",1924,-6.887
"226",1925,-6.968
"227",1926,-6.96680034337162
"228",1927,-6.90248187624099
"229",1928,-6.83924389956129
"230",1929,-6.84128571428571
"231",1930,-6.93324338114749
"232",1931,-6.9815
"233",1932,-6.906
"234",1933,-6.912
"235",1934,-6.96115417844223
"236",1935,-6.976
"237",1936,-6.939
"238",1937,-6.95
"239",1938,-6.9435
"240",1939,-6.994
"241",1940,-6.938
"242",1941,-6.999
"243",1942,-7.06563744057015
"244",1943,-7.09115857692933
"245",1944,-7.07910042482384
"246",1945,-7.033
"247",1946,-6.983
"248",1947,-7.013
"249",1948,-7.043
"250",1949,-7.03233859002428
"251",1950,-7.006
"252",1951,-6.99344359512242
"253",1952,-6.99654178298261
"254",1953,-7.01027023177055
"255",1954,-7.02960460967626
"256",1955,-7.04952058488974
"257",1956,-7.06499382560099
"258",1957,-7.071
"259",1958,-7.06657554844912
"260",1959,-7.067
"261",1960,-7.08421477493208
"262",1961,-7.10056576974655
"263",1962,-7.091
"264",1963,-7.055
"265",1964,-7.06693916473949
"266",1965,-7.13272155068882
"267",1966,-7.235
"268",1967,-7.333
"269",1968,-7.33601242254714
"270",1969,-7.305
"271",1970,-7.31815642300067
"272",1971,-7.3475
"273",1972,-7.356
"274",1973,-7.39275
"275",1974,-7.483
"276",1975,-7.41766666666667
"277",1976,-7.4425
"278",1977,-7.4844
"279",1978,-7.502
"280",1979,-7.53966666666667
"281",1980,-7.5705
"282",1981,-7.61098588271063
"283",1982,-7.643
"284",1983,-7.65725
"285",1984,-7.6955
"286",1985,-7.706
"287",1986,-7.734
"288",1987,-7.7495
"289",1988,-7.80433333333333
"290",1989,-7.824
"291",1990,-7.843
"292",1991,-7.85003938333333
"293",1992,-7.87792574166667
"294",1993,-7.88560870416667
"295",1994,-7.89811815
"296",1995,-7.94607029666667
"297",1996,-7.96985148333333
"298",1997,-8.00226815
"299",1998,-8.05109240833334
"300",1999,-8.07135148333333
"301",2000,-8.06710148333333
"302",2001,-8.07435453484848
"303",2002,-8.12401815
"304",2003,-8.15301815
"305",2004,-8.17635148333333
"306",2005,-8.20635148333333
"307",2006,-8.22160148333333
"308",2007,-8.26651815
"309",2008,-8.29901815
"310",2009,-8.31185148333333
"311",2010,-8.32068481666667
