year,iso_code,collector,number,family,species,sp_code,qds,lat,long,pathway,weight,n_qual,d.15NAIR,d.13CVPDB,X.N,X.C,C.N,d13_atmos
1931,1,"Mogg, A.O.D.",16454,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.802,2,5.2,-11.4,2.7,54.1,20.3,-6.9815
1929,2,"Skea, D.",21,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.973,2,4.1,-10.9,2.5,44.4,17.6,-6.841285714
1931,3,"Mogg, A.O.D.",16471,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.841,2,2.5,-10.8,1.2,42.1,36.6,-6.9815
1931,4,"Mogg, A.O.D.",16453,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.82,2,8.8,-10.1,2,50.9,24.8,-6.9815
1932,5,"Cronje, T.",12,Poaceae,Hyparrhenia hirta,HH,2528CA,-25.625,28.125,C4,1.675,2,3.8,-10.8,1.3,40.6,31.4,-6.906
1936,6,"Mogg, A.O.D.",13715,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.703,2,3.4,-10.4,1.2,41.2,33.1,-6.939
1944,7,"Wasserfall, E.",PRE 33399,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.688,0,6,-10.9,2.1,42.2,20.4,-7.079100425
1964,8,"Oakes, A.C.J.",245,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.704,2,2.6,-11.7,0.4,42,103.8,-7.066939165
1983,9,"Smook, L.",4761,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.837,2,3.2,-11.8,2,43.5,22,-7.65725
1956,10,de Wet,1469,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.762,2,2.3,-10.1,1.8,42.6,23.4,-7.064993826
1932,11,"Smith, C.A.",6079,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.847,2,5.6,-11.1,1.8,41.8,23.1,-6.906
1932,12,"Mogg, A.O.D.",12348,Poaceae,Hyparrhenia hirta,HH,2528CA,-25.625,28.125,C4,1.718,1,2.3,-11.7,0.9,40.5,43.7,-6.906
1925,13,"Pole-Evans, I.B.",1528,Poaceae,Digitaria eriantha,DE,2528CA,-25.625,28.125,C4,1.651,0,1,-10.3,0.5,40.8,81.6,-6.968
