"","year","d13_atmos"
"1",1019,-6.553
"2",1099,-6.558
"3",1251,-6.54
"4",1330,-6.548
"5",1390,-6.514
"6",1390,-6.538
"7",1530,-6.509
"8",1573,-6.439
"9",1694,-6.396
"10",1723,-6.449
"11",1752,-6.351
"12",1763,-6.434
"13",1799,-6.511
"14",1833,-6.651
"15",1843,-6.668
"16",1843,-6.667
"17",1844,-6.656
"18",1845,-6.592
"19",1850,-6.651
"20",1857,-6.648
"21",1862,-6.674
"22",1864,-6.708
"23",1868,-6.766
"24",1868,-6.755
"25",1870,-6.679
"26",1880,-6.707
"27",1883,-6.733
"28",1890,-6.763
"29",1897,-6.78
"30",1897,-6.786
"31",1897,-6.823
"32",1899,-6.682
"33",1900,-6.754
"34",1903,-6.781
"35",1903,-6.749
"36",1905,-6.829
"37",1906,-6.814
"38",1910,-6.888
"39",1913,-6.867
"40",1916,-6.904
"41",1916,-6.891
"42",1920,-6.931
"43",1924,-6.881
"44",1924,-6.893
"45",1925,-6.968
"46",1929,-6.895
"47",1929,-6.866
"48",1929,-6.825
"49",1929,-6.816
"50",1929,-6.83
"51",1929,-6.828
"52",1929,-6.829
"53",1931,-6.991
"54",1931,-6.972
"55",1932,-6.906
"56",1933,-6.882
"57",1933,-6.892
"58",1933,-6.962
"59",1935,-6.976
"60",1936,-6.939
"61",1937,-6.967
"62",1937,-6.933
"63",1938,-6.922
"64",1938,-6.965
"65",1939,-6.998
"66",1939,-6.99
"67",1940,-6.965
"68",1940,-6.911
"69",1941,-6.999
"70",1945,-7.033
"71",1946,-6.983
"72",1947,-7.013
"73",1948,-7.061
"74",1948,-7.025
"75",1950,-7.006
"76",1957,-7.087
"77",1957,-7.019
"78",1957,-7.107
"79",1959,-7.067
"80",1962,-7.091
"81",1963,-7.055
"82",1966,-7.18
"83",1966,-7.199
"84",1966,-7.326
"85",1967,-7.333
"86",1969,-7.327
"87",1969,-7.221
"88",1969,-7.315
"89",1969,-7.304
"90",1969,-7.358
"91",1971,-7.244
"92",1971,-7.481
"93",1971,-7.333
"94",1971,-7.332
"95",1972,-7.366
"96",1972,-7.346
"97",1973,-7.38
"98",1973,-7.37
"99",1973,-7.41
"100",1973,-7.411
"101",1974,-7.483
"102",1975,-7.388
"103",1975,-7.432
"104",1975,-7.433
"105",1976,-7.41
"106",1976,-7.475
"107",1977,-7.494
"108",1977,-7.487
"109",1977,-7.46
"110",1977,-7.464
"111",1977,-7.517
"112",1978,-7.499
"113",1978,-7.505
"114",1979,-7.545
"115",1979,-7.539
"116",1979,-7.535
"117",1980,-7.52
"118",1980,-7.568
"119",1980,-7.602
"120",1980,-7.592
"121",1982,-7.647
"122",1982,-7.639
"123",1983,-7.657
"124",1983,-7.66
"125",1983,-7.638
"126",1983,-7.674
"127",1984,-7.704
"128",1984,-7.687
"129",1985,-7.706
"130",1986,-7.732
"131",1986,-7.762
"132",1986,-7.695
"133",1986,-7.747
"134",1987,-7.747
"135",1987,-7.752
"136",1988,-7.817
"137",1988,-7.81
"138",1988,-7.786
"139",1989,-7.824
"140",1989,-7.824
"141",1990,-7.848
"142",1990,-7.854
"143",1990,-7.827
"144",1991,-7.827
"145",1991,-7.855
"146",1992,-7.882
"147",1993,-7.898
"148",1993,-7.882
"149",1993,-7.885
"150",1995,-7.947
"151",1995,-7.958
"152",1995,-7.959
"153",1995,-7.926
"154",1998,-8.06
"155",2001,-8.075
"156",2001,-8.064
"157",1991,-7.86811815
"158",1992,-7.87385148333333
"159",1993,-7.87743481666667
"160",1994,-7.89811815
"161",1995,-7.94035148333333
"162",1996,-7.96985148333333
"163",1997,-8.00226815
"164",1998,-8.04218481666667
"165",1999,-8.07135148333333
"166",2000,-8.06710148333333
"167",2001,-8.08406360454545
"168",2002,-8.12401815
"169",2003,-8.15301815
"170",2004,-8.17635148333333
"171",2005,-8.20635148333333
"172",2006,-8.22160148333333
"173",2007,-8.26651815
"174",2008,-8.29901815
"175",2009,-8.31185148333333
"176",2010,-8.32068481666667
"177",2011,-8.33960148333333
"178",2012,-8.36051815
"179",2013,-8.39585148333333
"180",2014,-8.42010148333333
"181",2015,-8.45068481666667
"182",2016,-8.50551815
"183",2017,-8.51368481666667
"184",2018,-8.53451815
